arquivo;curso_sigla;disciplina_ordinal;disciplina_nome;disciplina_ch_horas;numero_ue;topico;ue_ch_horas;qtd_subunidades;subunidades
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;3;CONVENÇÃO DAS NAÇÕES UNIDAS SOBRE O DIREITO DO MAR (CNDUM);4;3;"Desenvolvimento histórico da United Nations Convention on the Law of the Sea | Espaços estabelecidos pela CNUDM; e | Perspectiva Brasileira da CNUDM"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;4;RESPONSABILIDADE CIVIL DO HIDRÓGRAFO;6;2;"Base Legal dos Serviços; e | Responsabilidade Civil do Hidrógrafo"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;5;CARTAS NÁUTICAS, SISTEMAS DE APRESENTAÇÃO DE CARTAS ELETRÔNICAS (ECDIS e ECS);12;4;"Cartas Náuticas de Papel | Cartas Digitais Raster e Vetorial | Padrões da OHI, aquisição e atualização de Eletronic Navegational Chart (ENC); e | ECDIS e ECS"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;6;SISTEMAS DE POSICIONAMENTO E DE MONITORAMENTO MARÍTIMO;15;4;"Automatic Identification System (AIS) | Sistemas de Posicionamento Satélite | Sistemas de Navegação Inercial; e | Global Maritime Distress and Safety System (GMDSS)"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;1;INTRODUÇÃO ÀS AGULHAS NÁUTICAS;2;2;"Aplicação dos diversos tipos de agulha náutica a bordo; e | Princípios de funcionamento, capacidades, limitações e fontes de erro das agulhas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;2;MAGNETISMO;2;3;"Noções de magnetismo | Magnetismo terrestre e declinação magnética; e | Inclinação e declinação magnética"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;3;TEORIA DOS DESVIOS;3;4;"Magnetismo dos navios: imantação, assinatura magnética e Degaussing | Subdivisão dos navios em barras de aço e ferro doce | Registro sobre a agulha magnética; e | Instruções para preenchimento do modelo DHN-0104"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;4;AGULHAS MAGNÉTICAS;2;3;"Constituição de uma agulha magnética | Condições que uma agulha deve satisfazer; e | Perturbações da agulha"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;5;COMPENSAÇÃO DE AGULHAS MAGNÉTICAS;8;8;"Ações preliminares | Compensação de agulha magnética por comparação com a giroscópica | Teoria da compensação de agulha: análise das causas de desvios | Compensação de agulha magnética por alinhamentos notáveis | Compensação de agulha magnética por azimute do sol | Compensação de agulha magnética pelo defletor Kelvin | Determinação da barra de Flinders; e | Preenchimento do modelo DHN 0104"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XII;AGULHAS NÁUTICAS;32;6;EXECUÇÃO DA COMPENSAÇÃO;15;1;Compensação no simulador e a bordo de navio
